cat,subcat,name,website,facebook,location
Sports,Running,Hazlehead Park,https://www.aberdeencity.gov.uk/index.php/parks/hazlehead-park,https://www.facebook.com/129102637130860/,"57.1391857,-2.1780863"
Sports,Sport centres,Aberdeen Fitness Studio,https://www.aberdeenfitnessstudio.com/,https://www.facebook.com/AberdeenFitnessStudio/,"57.1433812,-2.1150608"
Sports,Gyms,PureGym Aberdeen Shiprow,https://www.puregym.com,https://www.facebook.com/puregymaberdeen/,"57.146486,-2.094476"
Sports,Sport centres,Aberdeen Fitness and Combat Centre,https://aberdeenfitness.com/,https://www.facebook.com/AberdeenFitnessandCombatCentre/,"57.158385,-2.11425"
Sports,Stadium,Pittodrie Stadium,https://www.afc.co.uk/,https://www.facebook.com/PittodrieEvents/,"57.1592766,-2.0887438"
Sports,Sport centres,"Aberdeen Sports Village, Sports Centre",http://www.aberdeensportsvillage.com/,https://www.facebook.com/AberdeenSportsVillage/,"57.1627293,-2.0941397"
Sports,Swimming Pools,Northfield Swimming Pool,https://www.sportaberdeen.co.uk/northfield-swimming-pool,https://www.facebook.com/184465464924362/,"57.1637241,-2.1533488"
Sports,Swimming Pools,Aberdeen Aquatics Centre,http://www.aberdeensportsvillage.com/aquatics-centre,https://www.facebook.com/533271803394591/,"57.16402739999999,-2.0941192"
Sports,Running,Seaton Park,https://www.aberdeencity.gov.uk/parks/seaton-park,https://www.facebook.com/groups/seatonparkfriends/,"57.1723982,-2.0997174"
Dining,Pubs,The Monkey House,https://www.facebook.com/themonkeyhoose/,https://www.facebook.com/themonkeyhoose/,"57.1457112,-2.1027448"
Entertainment,Nightlife,Mansion Aberdeen,https://www.facebook.com/Mansion.Aberdeen/,https://www.facebook.com/Mansion.Aberdeen/,"57.1214526,-2.1662652"
